Project_id,source_id,Address,Town,Province,Source_type,results,Improvement,Source_status,Date_of_completion,Comments
2215,KiRu28120224,"45 Nyuki Okonjo Drive",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2216,KiZu31205224,"181 Conakry Street",Zuri,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2217,SoRu36569224,"81 Machel Lane",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2218,KiAm21973224,"188 Lome Street",Amara,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2219,SoRu36203224,"29 Casablanca Road",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2220,AkRu07866224,"110 Maji Mema Street",Rural,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2221,AmAm09481224,"141 Lumumba Lane",Amina,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2222,AkRu02863224,"14 Nia Lane",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2223,HaZa21709224,"115 Kampala Road",Zanzibar,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2224,KiRu30421224,"59 Kinshasa Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2225,SoRu39156224,"7 Youssou N'Dour Road",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2226,AmAm09708224,"67 Ziwa Mzuri Avenue",Amina,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2227,HaRu17476224,"148 Rhodes Street",Rural,Hawassa,river,NULL,NULL,Backlog,NULL,NULL
2228,AmBe11247224,"85 Mbuzi Mbeki Street",Bello,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2229,AkRu08042224,"43 Milima Nyeusi Drive",Rural,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2230,AkHa00087224,"124 Addis Ababa Road",Harare,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2231,SoBa31819224,"135 Chura Usman Street",Bahari,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2232,HaRu20648224,"184 Gbenga Adeyinka Street",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2233,KiRu29940224,"96 Special Star Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2234,KiRu29980224,"124 Special Star Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2235,HaDe16498224,"14 Ndege Tambo Road",Deka,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2236,AkRu04993224,"159 Bissau Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2237,HaRu18627224,"86 Kano Street",Rural,Hawassa,river,NULL,NULL,Backlog,NULL,NULL
2238,AmRu14718224,"63 Nyama Choma Street",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2239,KiHa23337224,"16 Samora Machel Road",Harare,Kilimani,river,NULL,NULL,Backlog,NULL,NULL
2240,SoRu38037224,"21 Paka Dangote Street",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2241,AmRu14323224,"23 Julius Nyerere Drive",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2242,KiRu26105224,"54 Nyerere Road",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2243,AkKi01431224,"63 Zambezi Street",Kintampo,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2244,SoRu37970224,"49 Paka Dangote Street",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2245,HaRu18043224,"41 Lubumbashi Lane",Rural,Hawassa,shared_tap,NULL,NULL,Backlog,NULL,NULL
2246,KiMr24690224,"55 Kob Maathai Road",Mrembo,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2247,HaRu19533224,"134 Mnyama Dangote Road",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2248,KiRu27635224,"120 Desmond Tutu Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2249,SoRu35148224,"36 Kenyatta Avenue",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2250,HaDe16353224,"28 Dangote Drive",Deka,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2251,SoRu38491224,"47 Pwani Ya Joto Road",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2252,AkKi01151224,"143 Ziwa Nyeusi Street",Kintampo,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2253,HaRu18454224,"74 Kano Street",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2254,SoRu37036224,"159 Ellen Johnson Sirleaf Street",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2255,SoRu34999224,"7 Fennec Way",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2256,AmBe11282224,"119 Mbuzi Mbeki Street",Bello,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2257,SoRu38363224,"44 Mlima Wa Uzuri Avenue",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2258,AkRu07485224,"55 Bahari Ya Kunata Avenue",Rural,Akatsi,river,NULL,NULL,Backlog,NULL,NULL
2259,AkHa00518224,"36 Ukingo Mkuu Drive",Harare,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2260,AmAs10580224,"71 Nadi Kijani Lane",Asmara,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2261,HaYa21525224,"62 Wangari Maathai Avenue",Yaounde,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2262,AkRu06465224,"160 Punda Kagame Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2263,SoMa34605224,"95 Thomas Mapfumo Road",Marang,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2264,AkRu04613224,"8 Marrakech Avenue",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2265,KiRu25808224,"81 Acacia Lane",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2266,AmRu15018224,"37 Mbuni Soyinka Avenue",Rural,Amanzi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2267,AkRu04705224,"40 Windhoek Way",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2268,AmDa11554224,"42 Mamba Amina Way",Dahabu,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2269,SoBa31442224,"53 Stanley Avenue",Bahari,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2270,KiRu29193224,"44 Bahari Ya Faraja Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2271,HaRu17764224,"64 Tunis Road",Rural,Hawassa,river,NULL,NULL,Backlog,NULL,NULL
2272,AkRu07264224,"143 Ukingo Wa Jua Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2273,AkRu07452224,"61 Bahari Ya Kunata Avenue",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2274,AmAs10117224,"80 Tembo Road",Asmara,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2275,HaAm16137224,"23 Kifaru Lumumba Road",Amina,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2276,HaRu18761224,"85 Amin Road",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2277,AkRu04157224,"187 Victoria Street",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2278,KiIs23848224,"55 Farasi Makeba Street",Isiqalo,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2279,SoRu38041224,"15 Paka Dangote Street",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2280,SoCh32072224,"18 Lusaka Road",Cheche,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2281,KiHa22739224,"167 Tripoli Street",Harare,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2282,AmAs10728224,"40 Jangwa La Fisi Street",Asmara,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2283,KiRu30258224,"14 Afro Blue Drive",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2284,AkRu04275224,"197 Asmara Street",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2285,AmRu13632224,"105 Casablanca Street",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2286,AkLu02017224,"133 Kumasi Street",Lusaka,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2287,KiRu26050224,"77 Nyerere Road",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2288,AkRu03141224,"39 Asmara Boulevard",Rural,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2289,KiRu27680224,"83 Desmond Tutu Street",Rural,Kilimani,river,NULL,NULL,Backlog,NULL,NULL
2290,KiMr24538224,"44 Okocha Street",Mrembo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2291,AmPw12365224,"94 Jengo Street",Pwani,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2292,HaRu17230224,"20 Savannah Grove",Rural,Hawassa,shared_tap,NULL,NULL,Backlog,NULL,NULL
2293,AkHa00420224,"139 Oliver Tambo Street",Harare,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2294,KiHa23170224,"104 Port Said Street",Harare,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2295,SoMa33796224,"138 Cissé Road",Majengo,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2296,AmAb08943224,"29 Atlas Mountain Crest",Abidjan,Amanzi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2297,SoRu36686224,"97 Machel Lane",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2298,HaRu19644224,"48 Mto Mandela Avenue",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2299,AmDa12096224,"53 Mto Msafi Road",Dahabu,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2300,KiRu28575224,"15 Ndege Khama Drive",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2301,KiRu28862224,"121 Ziwa La Kioo Road",Rural,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2302,SoRu37799224,"134 Kuku Kenyatta Road",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2303,KiRu30540224,"126 Sahara Street",Rural,Kilimani,river,NULL,NULL,Backlog,NULL,NULL
2304,HaZa21894224,"35 Miriam Makeba Drive",Zanzibar,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2305,KiRu26715224,"120 N'Djamena Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2306,KiRu30549224,"70 Sahara Street",Rural,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2307,AmRu15184224,"159 Mawimbi Maji Street",Rural,Amanzi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2308,HaRu18607224,"198 Kano Street",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2309,HaRu17689224,"13 Constantine Road",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2310,KiRu30425224,"144 Kinshasa Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2311,SoRu37242224,"70 Nelson Mandela Street",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2312,SoRu34956224,"39 Serpent Rise",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2313,AmRu13236224,"129 Hurghada Street",Rural,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2314,SoRu37588224,"19 Panya Zinjathropus Avenue",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2315,SoRu39121224,"46 Youssou N'Dour Road",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2316,AkRu04160224,"30 Victoria Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2317,SoMa34043224,"81 Yaya Touré Lane",Majengo,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2318,AmAs10049224,"149 Tembo Road",Asmara,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2319,KiRu25746224,"42 Acacia Lane",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2320,AkRu06981224,"27 Fisi Nkrumah Street",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2321,KiRu25906224,"44 Kalahari Avenue",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2322,KiRu30584224,"131 Sahara Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2323,KiRu29376224,"11 Bahari Ya Uzuri Drive",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2324,SoIl32428224,"126 Sfax Street",Ilanga,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2325,AmPw12669224,"8 Lagos Street",Pwani,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2326,HaDj16740224,"14 Durban Road",Djenne,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2327,AkLu02062224,"182 Kumasi Street",Lusaka,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2328,SoRu38174224,"127 Mto Wa Uzima Street",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2329,AmRu14092224,"40 Senghor Way",Rural,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2330,KiZu31172224,"33 Conakry Street",Zuri,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2331,HaRu20828224,"131 Tuku Street",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2332,AmRu14021224,"43 Selassie Drive",Rural,Amanzi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2333,SoRu36457224,"18 Nkrumah Road",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2334,HaZa21854224,"13 Jomo Kenyatta Avenue",Zanzibar,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2335,HaRu18286224,"57 Abuja Avenue",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2336,KiRu28143224,"40 Nyuki Okonjo Drive",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2337,HaRu19503224,"62 Mnyama Dangote Road",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2338,AkRu07959224,"152 Maji Mema Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2339,SoMa33735224,"33 Algiers Road",Majengo,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2340,KiRu26069224,"62 Nyerere Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2341,SoRu39056224,"75 Youssou N'Dour Road",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2342,HaYa21366224,"39 Okapi Road",Yaounde,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2343,AmPw12623224,"42 Lagos Street",Pwani,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2344,HaDj16905224,"33 Fela Kuti Boulevard",Djenne,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2345,KiRu30340224,"123 Kinshasa Road",Rural,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2346,AmAs10414224,"26 Eto'o Street",Asmara,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2347,AkRu05384224,"19 Wole Soyinka Street",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2348,KiRu26563224,"16 Praia Avenue",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2349,KiMr25038224,"33 Ziwa La Tumaini Drive",Mrembo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2350,SoRu38964224,"79 Asimbonanga Road",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2351,KiHa22801224,"74 Tripoli Street",Harare,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2352,KiRu28476224,"113 Sungura Amanpour Road",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2353,HaRu19740224,"20 Mlima Tazama Avenue",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2354,AmAs10507224,"111 Nadi Kijani Lane",Asmara,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2355,SoRu39565224,"143 Angelique Street",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2356,AmAs10116224,"15 Tembo Road",Asmara,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2357,HaRu18452224,"159 Kano Street",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2358,KiRu29645224,"65 Ziwa La Upendo Street",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2359,AmRu14895224,"39 Ngiri Achebe Drive",Rural,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2360,AmRu13941224,"72 Timbuktu Road",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2361,AmRu13103224,"42 Cairo Road",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2362,HaRu18125224,"45 Djibouti Drive",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2363,KiRu29556224,"179 Bahari Nyeupe Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2364,KiIs24172224,"106 Kiboko Senghor Road",Isiqalo,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2365,AkRu08321224,"28 Freedom Road",Rural,Akatsi,river,NULL,NULL,Backlog,NULL,NULL
2366,AkRu02679224,"69 Nyota Avenue",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2367,SoRu35879224,"17 Mombasa Road",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2368,SoRu36828224,"133 Kamuzu Banda Road",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2369,KiMr24969224,"169 Mlima Wa Matumaini Street",Mrembo,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2370,HaRu19397224,"46 Twiga Lumumba Boulevard",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2371,KiRu27159224,"86 Maseru Road",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2372,AkRu07629224,"70 Mto Wa Furaha Road",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2373,KiRu29430224,"155 Bahari Nyeupe Street",Rural,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2374,KiIs23958224,"174 Farasi Makeba Street",Isiqalo,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2375,AkRu08803224,"150 Ladysmith Black Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2376,KiMr25192224,"39 Afrobeats Street",Mrembo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2377,SoMa33785224,"130 Cissé Road",Majengo,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2378,SoIl32579224,"110 Pwani Mchangani Road",Ilanga,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2379,SoMa33615224,"60 Luxor Avenue",Majengo,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2380,SoIl32519224,"97 Sfax Street",Ilanga,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2381,AkRu05100224,"113 Bissau Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2382,AkRu06554224,"107 Popo Kamuzu Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2383,SoRu38864224,"46 Cape Town Avenue",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2384,AmRu13596224,"16 Casablanca Street",Rural,Amanzi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2385,AkRu07136224,"137 Simba Tutu Street",Rural,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2386,SoRu37123224,"45 Nelson Mandela Street",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2387,HaAm16065224,"31 Garang Street",Amina,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2388,SoRu39175224,"32 Youssou N'Dour Road",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2389,SoBa31655224,"151 Kwame Nkrumah Street",Bahari,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2390,SoRu37629224,"69 Panya Zinjathropus Avenue",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2391,KiZu30959224,"4 Yaounde Street",Zuri,Kilimani,river,NULL,NULL,Backlog,NULL,NULL
2392,AmRu13297224,"184 Hurghada Street",Rural,Amanzi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2393,AmAs10131224,"47 Tembo Road",Asmara,Amanzi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2394,KiRu28740224,"189 Bahari Nzuri Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2395,AkRu05440224,"138 Wole Soyinka Street",Rural,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2396,AkRu06936224,"33 Fisi Nkrumah Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2397,SoRu34861224,"31 Ndovu Avenue",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2398,SoRu34922224,"23 Serpent Rise",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2399,SoRu37260224,"56 Kofi Annan Avenue",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2400,HaRu17359224,"43 Tahrir Square",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2401,KiRu26901224,"118 Zanzibar Street",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2402,HaRu17568224,"19 Constantine Road",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2403,HaRu19467224,"67 Mnyama Dangote Road",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2404,KiRu28551224,"15 Sungura Amanpour Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2405,SoRu35723224,"38 Moroni Avenue",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2406,HaDe16382224,"71 Ndege Tambo Road",Deka,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2407,AkLu02398224,"45 Maji Matulivu Avenue",Lusaka,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2408,KiRu25961224,"32 Kalahari Avenue",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2409,KiRu28591224,"10 Ndege Khama Drive",Rural,Kilimani,river,NULL,NULL,Backlog,NULL,NULL
2410,AkRu06791224,"13 Chakula Ramaphosa Drive",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2411,AkRu06060224,"83 Simba Road",Rural,Akatsi,river,NULL,NULL,Backlog,NULL,NULL
2412,HaAm15969224,"64 Garang Street",Amina,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2413,KiRu30508224,"133 Sahara Street",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2414,KiAm22200224,"11 Mandela Avenue",Amara,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2415,HaRu20560224,"147 Gbenga Adeyinka Street",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2416,KiRu26733224,"109 N'Djamena Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2417,AkRu06398224,"148 Punda Kagame Street",Rural,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2418,SoRu36536224,"54 Machel Lane",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2419,AkRu07058224,"33 Simba Tutu Street",Rural,Akatsi,river,NULL,NULL,Backlog,NULL,NULL
2420,SoIl32607224,"9 Pwani Mchangani Road",Ilanga,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2421,HaRu19312224,"47 Kiboko Nkrumah Lane",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2422,KiRu30003224,"38 Special Star Road",Rural,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2423,AmRu15538224,"150 Jerusalema Lane",Rural,Amanzi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2424,AkRu02703224,"31 Nyota Avenue",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2425,HaAm15917224,"110 Garang Street",Amina,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2426,AmAs10121224,"6 Tembo Road",Asmara,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2427,KiRu27633224,"32 Desmond Tutu Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2428,HaDj16796224,"26 Durban Road",Djenne,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
